mean1,std1,n1,dim1,dist1,mean2,std2,n2,dim2,dist2,time_pald_numpy,bound_pald_numpy
1,1,410,1,normal,1,1,610,1,normal,40.71108603477478,0.002251432049368057
1,1,510,1,normal,1,1,610,1,normal,51.07726216316223,0.0020782814009020233
1,1,510,1,normal,1,1,610,1,normal,50.619691133499146,0.002076904125411953
1,1,510,1,normal,1,1,610,1,normal,50.252112865448,0.002076515456210603
1,1,510,1,normal,1,1,610,1,normal,50.769551277160645,0.002079947075567038
1,1,510,1,normal,1,1,610,1,normal,50.68482971191406,0.0020758758047915602
1,1,610,1,normal,1,1,610,1,normal,60.174755811691284,0.001930654364909725
1,1,610,1,normal,1,1,610,1,normal,60.181589126586914,0.0019320380013655228
1,1,610,1,normal,1,1,610,1,normal,60.33994913101196,0.001933145366256364
1,1,610,1,normal,1,1,610,1,normal,60.38527035713196,0.0019317325876365308
1,1,610,1,normal,1,1,610,1,normal,59.90148663520813,0.001930946345965793
1,1,710,1,normal,1,1,610,1,normal,71.55534267425537,0.0018074284391092395
1,1,710,1,normal,1,1,610,1,normal,71.78407740592957,0.0018037360302505941
1,1,710,1,normal,1,1,610,1,normal,71.56348443031311,0.0018045331054399633
1,1,710,1,normal,1,1,610,1,normal,71.48808693885803,0.0018060830106175123
1,1,710,1,normal,1,1,610,1,normal,71.45705056190491,0.001805098561032424
1,1,810,1,normal,1,1,610,1,normal,83.6766848564148,0.0016963361426678481
1,1,810,1,normal,1,1,610,1,normal,83.57083868980408,0.0016939664185278954
1,1,810,1,normal,1,1,610,1,normal,83.55462837219238,0.0016946872683953045
1,1,810,1,normal,1,1,610,1,normal,84.26837348937988,0.0016942174798722175
1,1,810,1,normal,1,1,610,1,normal,83.62780380249023,0.0016952128763713908
