mean1,std1,n1,dim1,dist1,mean2,std2,n2,dim2,dist2,time_pald_numpy,time_pald_cupy_multistream,time_pald_cupy,time_pald_cupy_loop,time_pald_cupy_kernels,bound_pald_numpy,bound_pald_cupy_multistream,bound_pald_cupy,bound_pald_cupy_loop,bound_pald_cupy_kernels
0,1,10,1,normal,0,1,810,1,normal,18.146068572998047,0.045993804931640625,138.58174204826355,0.06261086463928223,44.71445870399475,0.0027128760183521804,,0.0027128760183521804,0.002712876913024158,0.002712876913024158
0,1,10,1,normal,0,1,810,1,normal,18.025843143463135,0.06510519981384277,138.49633312225342,0.044661760330200195,44.55301070213318,0.0027115871690713968,,0.0027115871690713968,0.0027115882896795503,0.0027115882896795503
0,1,210,1,normal,0,1,810,1,normal,28.5461323261261,0.05954480171203613,212.49721217155457,0.05837392807006836,68.11375713348389,0.002249001373936351,0.002249000586715399,0.002249001373936351,0.002249000820459104,0.002249000586715399
0,1,210,1,normal,0,1,810,1,normal,28.673683166503906,0.056079864501953125,211.55764317512512,0.05878782272338867,69.11920833587646,0.0022508809224223046,0.0022508801198473163,0.0022508809224223046,0.0022508803535910213,0.0022508801198473163
0,1,210,1,normal,0,1,810,1,normal,28.485618591308594,0.05889105796813965,212.77502346038818,0.059102535247802734,68.8025860786438,0.0022512175863765417,,0.0022512175863765417,0.0022512171782699286,0.0022512169445262236
0,1,210,1,normal,0,1,810,1,normal,28.627012729644775,0.058808088302612305,215.72886300086975,0.05971264839172363,69.48126578330994,0.0022545519266056993,,0.0022545519266056993,0.0022545508309906605,0.0022545508309906605
0,1,210,1,normal,0,1,810,1,normal,28.676313877105713,0.06081390380859375,213.41984939575195,0.05863475799560547,68.63871240615845,0.002251995047467032,0.0022519941423453536,0.002251995047467032,0.0022519941423453536,0.0022519939086016487
0,1,410,1,normal,0,1,810,1,normal,42.50565052032471,0.08232712745666504,302.89674854278564,0.09275007247924805,98.53271865844727,0.001927198483573273,0.001927198347498159,0.001927198483573273,0.001927198347498159,0.001927198347498159
0,1,410,1,normal,0,1,810,1,normal,41.97431826591492,0.08705377578735352,303.37745094299316,0.09250354766845703,98.76731610298157,0.001929434262533462,0.0019294351827902872,0.001929434262533462,0.0019294351827902872,0.0019294351827902872
0,1,410,1,normal,0,1,810,1,normal,42.077529191970825,0.08568072319030762,304.63703751564026,0.09245848655700684,98.75165796279907,0.001933263175135379,0.0019332639506605806,0.001933263175135379,0.0019332639506605806,0.0019332639506605806
